PLAYER,PLAY TYPE,MADE,SHOT TYPE,VTM,HTM,GAME DATE,PERIOD,TIME REMAINING,SHOT DISTANCE (FT)
Kyle Lowry,Pullup Jump shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,1,7:50,24
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,1,6:43,26
Kyle Lowry,Running Pull-Up Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,2,9:46,25
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,2,1:41,26
Kyle Lowry,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/13/2019,3,6:09,3
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,4,10:05,26
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/13/2019,4,8:33,28
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/16/2019,1,6:52,26
Kyle Lowry,Layup Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/16/2019,2,11:16,5
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/16/2019,2,10:54,26
Kyle Lowry,Driving Reverse Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,2,8:54,1
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/16/2019,2,7:08,27
Kyle Lowry,Cutting Finger Roll Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,2,6:04,0
Kyle Lowry,Pullup Jump shot,Missed Shot,3PT Field Goal,ORL,TOR,4/16/2019,2,0:54,27
Kyle Lowry,Driving Finger Roll Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,2,0:15,1
Kyle Lowry,Driving Layup Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/16/2019,3,10:33,1
Kyle Lowry,Tip Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,3,7:27,0
Kyle Lowry,Running Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,3,4:06,0
Kyle Lowry,Driving Layup Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/16/2019,3,3:36,1
Kyle Lowry,Driving Finger Roll Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/16/2019,4,9:57,1
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,TOR,ORL,4/19/2019,1,11:15,24
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,TOR,ORL,4/19/2019,1,8:00,26
Kyle Lowry,Driving Reverse Layup Shot,Missed Shot,2PT Field Goal,TOR,ORL,4/19/2019,1,7:15,2
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,TOR,ORL,4/19/2019,1,3:25,25
Kyle Lowry,Driving Layup Shot,Made Shot,2PT Field Goal,TOR,ORL,4/19/2019,3,10:58,2
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,TOR,ORL,4/19/2019,3,8:53,24
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,TOR,ORL,4/19/2019,3,7:22,25
Kyle Lowry,Step Back Jump shot,Made Shot,3PT Field Goal,TOR,ORL,4/19/2019,4,7:48,25
Kyle Lowry,Driving Layup Shot,Made Shot,2PT Field Goal,TOR,ORL,4/19/2019,4,5:51,2
Kyle Lowry,Step Back Jump shot,Missed Shot,2PT Field Goal,TOR,ORL,4/19/2019,4,4:05,21
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,TOR,ORL,4/21/2019,1,10:27,25
Kyle Lowry,Driving Layup Shot,Made Shot,2PT Field Goal,TOR,ORL,4/21/2019,1,9:43,0
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,TOR,ORL,4/21/2019,2,11:25,25
Kyle Lowry,Pullup Jump shot,Missed Shot,2PT Field Goal,TOR,ORL,4/21/2019,2,10:03,6
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,TOR,ORL,4/21/2019,2,8:18,26
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,TOR,ORL,4/21/2019,3,8:56,26
Kyle Lowry,Step Back Jump shot,Missed Shot,3PT Field Goal,TOR,ORL,4/21/2019,4,10:01,25
Kyle Lowry,Driving Layup Shot,Missed Shot,2PT Field Goal,TOR,ORL,4/21/2019,4,8:41,1
Kyle Lowry,Driving Finger Roll Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/23/2019,1,11:40,3
Kyle Lowry,Running Pull-Up Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/23/2019,1,10:38,25
Kyle Lowry,Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/23/2019,1,10:11,2
Kyle Lowry,Running Layup Shot,Made Shot,2PT Field Goal,ORL,TOR,4/23/2019,1,9:35,2
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,ORL,TOR,4/23/2019,1,5:09,22
Kyle Lowry,Pullup Jump shot,Missed Shot,2PT Field Goal,ORL,TOR,4/23/2019,1,4:22,15
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,ORL,TOR,4/23/2019,2,9:38,23
Kyle Lowry,Pullup Jump shot,Missed Shot,3PT Field Goal,ORL,TOR,4/23/2019,2,6:26,25
Kyle Lowry,Layup Shot,Missed Shot,2PT Field Goal,ORL,TOR,4/23/2019,3,8:32,1
Kyle Lowry,Turnaround Hook Shot,Made Shot,2PT Field Goal,ORL,TOR,4/23/2019,3,4:51,2
Kyle Lowry,Driving Floating Jump Shot,Made Shot,2PT Field Goal,PHI,TOR,4/27/2019,1,4:01,4
Kyle Lowry,Cutting Layup Shot,Missed Shot,2PT Field Goal,PHI,TOR,4/27/2019,2,8:56,2
Kyle Lowry,Driving Layup Shot,Made Shot,2PT Field Goal,PHI,TOR,4/27/2019,2,5:12,0
Kyle Lowry,Running Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,4/27/2019,2,2:14,25
Kyle Lowry,Fadeaway Jump Shot,Missed Shot,2PT Field Goal,PHI,TOR,4/27/2019,2,0:00,11
Kyle Lowry,Step Back Jump shot,Made Shot,2PT Field Goal,PHI,TOR,4/27/2019,3,8:31,20
Kyle Lowry,Driving Finger Roll Layup Shot,Made Shot,2PT Field Goal,PHI,TOR,4/27/2019,3,6:59,1
Kyle Lowry,Pullup Jump shot,Missed Shot,3PT Field Goal,PHI,TOR,4/27/2019,3,5:03,31
Kyle Lowry,Pullup Jump shot,Missed Shot,3PT Field Goal,PHI,TOR,4/27/2019,4,5:58,26
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,4/27/2019,4,5:28,23
Kyle Lowry,Driving Floating Bank Jump Shot,Made Shot,2PT Field Goal,PHI,TOR,4/29/2019,1,11:05,5
Kyle Lowry,Running Layup Shot,Missed Shot,2PT Field Goal,PHI,TOR,4/29/2019,1,9:32,1
Kyle Lowry,Driving Floating Jump Shot,Made Shot,2PT Field Goal,PHI,TOR,4/29/2019,1,7:38,8
Kyle Lowry,Pullup Jump shot,Missed Shot,3PT Field Goal,PHI,TOR,4/29/2019,1,7:19,23
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,4/29/2019,2,10:40,29
Kyle Lowry,Driving Reverse Layup Shot,Missed Shot,2PT Field Goal,PHI,TOR,4/29/2019,2,9:53,2
Kyle Lowry,Running Reverse Layup Shot,Made Shot,2PT Field Goal,PHI,TOR,4/29/2019,2,5:52,1
Kyle Lowry,Driving Finger Roll Layup Shot,Made Shot,2PT Field Goal,PHI,TOR,4/29/2019,2,2:36,0
Kyle Lowry,Driving Layup Shot,Missed Shot,2PT Field Goal,PHI,TOR,4/29/2019,2,1:48,2
Kyle Lowry,Turnaround Fadeaway Bank Jump Shot,Missed Shot,2PT Field Goal,PHI,TOR,4/29/2019,3,4:15,13
Kyle Lowry,Pullup Jump shot,Missed Shot,2PT Field Goal,PHI,TOR,4/29/2019,4,11:50,21
Kyle Lowry,Running Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,4/29/2019,4,8:52,24
Kyle Lowry,Driving Floating Jump Shot,Made Shot,2PT Field Goal,PHI,TOR,4/29/2019,4,7:38,9
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,4/29/2019,4,3:50,26
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,PHI,TOR,4/29/2019,4,2:00,27
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,PHI,TOR,4/29/2019,4,1:36,25
Kyle Lowry,Driving Layup Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/2/2019,1,11:39,1
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/2/2019,1,6:10,25
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/2/2019,2,11:18,26
Kyle Lowry,Pullup Jump shot,Missed Shot,3PT Field Goal,TOR,PHI,5/2/2019,2,8:56,26
Kyle Lowry,Running Layup Shot,Made Shot,2PT Field Goal,TOR,PHI,5/2/2019,2,3:23,1
Kyle Lowry,Driving Layup Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/2/2019,3,11:29,2
Kyle Lowry,Running Jump Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/2/2019,3,10:34,2
Kyle Lowry,Running Finger Roll Layup Shot,Made Shot,2PT Field Goal,TOR,PHI,5/2/2019,3,5:21,1
Kyle Lowry,Pullup Jump shot,Missed Shot,2PT Field Goal,TOR,PHI,5/2/2019,4,10:59,19
Kyle Lowry,Pullup Jump shot,Missed Shot,3PT Field Goal,TOR,PHI,5/2/2019,4,5:16,26
Kyle Lowry,Driving Finger Roll Layup Shot,Made Shot,2PT Field Goal,TOR,PHI,5/5/2019,1,10:21,2
Kyle Lowry,Running Pull-Up Jump Shot,Made Shot,3PT Field Goal,TOR,PHI,5/5/2019,1,9:58,25
Kyle Lowry,Driving Floating Jump Shot,Made Shot,2PT Field Goal,TOR,PHI,5/5/2019,1,6:35,11
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/5/2019,1,5:35,25
Kyle Lowry,Pullup Jump shot,Missed Shot,3PT Field Goal,TOR,PHI,5/5/2019,2,11:31,24
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,TOR,PHI,5/5/2019,2,7:24,25
Kyle Lowry,Running Layup Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/5/2019,2,6:57,2
Kyle Lowry,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/5/2019,2,1:24,6
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/5/2019,2,1:19,23
Kyle Lowry,Pullup Jump shot,Missed Shot,3PT Field Goal,TOR,PHI,5/5/2019,3,8:25,25
Kyle Lowry,Step Back Jump shot,Made Shot,2PT Field Goal,TOR,PHI,5/5/2019,3,7:28,14
Kyle Lowry,Driving Layup Shot,Made Shot,2PT Field Goal,TOR,PHI,5/5/2019,4,10:46,2
Kyle Lowry,Fadeaway Jump Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/5/2019,4,8:47,13
Kyle Lowry,Pullup Jump shot,Made Shot,3PT Field Goal,PHI,TOR,5/7/2019,1,10:07,24
Kyle Lowry,Layup Shot,Made Shot,2PT Field Goal,PHI,TOR,5/7/2019,1,8:07,6
Kyle Lowry,Jump Bank Shot,Missed Shot,3PT Field Goal,PHI,TOR,5/7/2019,1,6:46,24
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,5/7/2019,2,8:07,25
Kyle Lowry,Driving Finger Roll Layup Shot,Made Shot,2PT Field Goal,PHI,TOR,5/7/2019,2,6:29,3
Kyle Lowry,Pullup Jump shot,Missed Shot,3PT Field Goal,PHI,TOR,5/7/2019,3,10:36,30
Kyle Lowry,Driving Layup Shot,Missed Shot,2PT Field Goal,PHI,TOR,5/7/2019,3,8:59,2
Kyle Lowry,Running Finger Roll Layup Shot,Made Shot,2PT Field Goal,PHI,TOR,5/7/2019,3,8:09,1
Kyle Lowry,Pullup Jump shot,Made Shot,3PT Field Goal,PHI,TOR,5/7/2019,4,11:14,26
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,TOR,PHI,5/9/2019,1,9:56,22
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/9/2019,2,11:49,26
Kyle Lowry,Fadeaway Jump Shot,Made Shot,2PT Field Goal,TOR,PHI,5/9/2019,2,10:11,3
Kyle Lowry,Driving Floating Bank Jump Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/9/2019,2,9:08,4
Kyle Lowry,Running Jump Shot,Missed Shot,2PT Field Goal,TOR,PHI,5/9/2019,2,7:14,4
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/9/2019,2,5:21,28
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,TOR,PHI,5/9/2019,3,11:49,25
Kyle Lowry,Pullup Jump shot,Made Shot,3PT Field Goal,TOR,PHI,5/9/2019,3,8:54,25
Kyle Lowry,Pullup Jump shot,Missed Shot,3PT Field Goal,TOR,PHI,5/9/2019,4,9:34,28
Kyle Lowry,Driving Layup Shot,Made Shot,2PT Field Goal,TOR,PHI,5/9/2019,4,8:17,1
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,TOR,PHI,5/9/2019,4,6:55,26
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,5/12/2019,1,7:04,25
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,5/12/2019,2,11:43,26
Kyle Lowry,Driving Finger Roll Layup Shot,Missed Shot,2PT Field Goal,PHI,TOR,5/12/2019,2,3:01,1
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,PHI,TOR,5/12/2019,2,2:39,23
Kyle Lowry,Driving Layup Shot,Made Shot,2PT Field Goal,PHI,TOR,5/12/2019,2,0:30,0
Kyle Lowry,Driving Floating Jump Shot,Missed Shot,2PT Field Goal,PHI,TOR,5/12/2019,2,0:00,7
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,5/12/2019,3,7:38,29
Kyle Lowry,Step Back Jump shot,Missed Shot,3PT Field Goal,PHI,TOR,5/12/2019,3,5:35,25
Kyle Lowry,Running Finger Roll Layup Shot,Made Shot,2PT Field Goal,PHI,TOR,5/12/2019,3,1:42,2
Kyle Lowry,Jump Bank Shot,Missed Shot,3PT Field Goal,PHI,TOR,5/12/2019,4,10:14,28
Kyle Lowry,Driving Layup Shot,Missed Shot,2PT Field Goal,PHI,TOR,5/12/2019,4,9:10,2
Kyle Lowry,Turnaround Fadeaway shot,Made Shot,2PT Field Goal,PHI,TOR,5/12/2019,4,7:11,17
Kyle Lowry,Jump Shot,Missed Shot,3PT Field Goal,PHI,TOR,5/12/2019,4,6:18,26
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,TOR,MIL,5/15/2019,1,9:18,25
Kyle Lowry,Pullup Jump shot,Made Shot,3PT Field Goal,TOR,MIL,5/15/2019,1,8:44,29
Kyle Lowry,Pullup Jump shot,Missed Shot,3PT Field Goal,TOR,MIL,5/15/2019,1,2:21,29
Kyle Lowry,Driving Floating Bank Jump Shot,Missed Shot,2PT Field Goal,TOR,MIL,5/15/2019,2,6:02,12
Kyle Lowry,Jump Shot,Made Shot,3PT Field Goal,TOR,MIL,5/15/2019,2,5:38,25
Kyle Lowry,Driving Layup Shot,Missed Shot,2PT Field Goal,TOR,MIL,5/15/2019,2,1:29,2
Kyle Lowry,Layup Shot,Made Shot,2PT Field Goal,TOR,MIL,5/15/2019,3,8:11,1
